v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Gosh that , what a pain. Spose I better come then.",,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,"Ah, well that confuses things, doesnÛ÷t it?",,,
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,,,
ham,Do you work all this week ?,,,
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,,,
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,,,
ham,Yup next stop.,,,
ham,No he didn't. Spring is coming early yay!,,,
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,,,
spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",,,
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,,,
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,,,
ham,I'm always looking for an excuse to be in the city.,,,
ham,"I'm outside islands, head towards hard rock and you'll run into me",,,
ham,Thats cool princess! I will cover your face in hot sticky cum :),,,
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",,,
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,,,
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
ham,"I am in tirupur da, once you started from office call me.",,,
ham,Fffff. Can you text kadeem or are you too far gone,,,
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",,,
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x,,,
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",,,
ham,Then cant get da laptop? My matric card wif Ì_ lei... ,,,
ham,Bring tat cd don forget,,,
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),,,
ham,Cancel cheyyamo?and get some money back?,,,
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
ham,"Sorry, went to bed early, nightnight",,,
ham,Dhoni have luck to win some big title.so we will win:),,,
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),,,
ham,I know you are. Can you pls open the back?,,,
ham,Yes. It's all innocent fun. O:-),,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),,,
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,,,
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
ham,Hi where you. You in home or calicut?,,,
ham,You call him and tell now infront of them. Call him now.,,,
ham,I liked your new house,,,
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",,,
ham,Actually I decided I was too hungry so I haven't left yet :V,,,
ham,I will reach ur home in  &lt;#&gt;  minutes,,,
ham,"And that's fine, I got enough bud to last most of the night at least",,,
ham,S:)8 min to go for lunch:),,,
ham,Just curious because my cuz asked what I was up to,,,
ham,Got smaller capacity one? Quite ex...,,,
ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",,,
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",,,
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",,,
ham,This is all just creepy and crazy to me.,,,
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
ham,Dunno y u ask me.,,,
ham,Happy new year. Hope you are having a good semester,,,
ham,East coast,,,
ham,"K, can that happen tonight?",,,
ham,Haha... They cant what... At the most tmr forfeit... haha so how?,,,
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,,,
ham,"Thanks da thangam, i feel very very happy dear. I also miss you da.",,,
ham,Sent me ur email id soon,,,
ham,Are you free now?can i call now?,,,
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,,,
ham,I hope your pee burns tonite.,,,
ham,Do you know when dad will be back?,,,
ham,I'm good. Have you registered to vote?,,,
ham,K then 2marrow are you coming to class.,,,
ham,K..give back my thanks.,,,
ham,ÌÏ comin to fetch us oredi...,,,
ham,Can Ì_ all decide faster cos my sis going home liao..,,,
ham,She ran off with a younger man. we will make pretty babies together :),,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,Mum not going robinson already.,,,
ham,Ya:)going for restaurant..,,,
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",,,
ham,But we havent got da topic yet rite?,,,
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,,,
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",,,
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",,,
spam,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,,,
ham,We still on for tonight?,,,
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",,,
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),,,
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
ham,Anytime...,,,
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
ham,"Sorry, I'll call later",,,
ham,It's justbeen overa week since we broke up and already our brains are going to mush!,,,
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,,,
ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,,,
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,,,
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,,,
ham,I cant pick the phone right now. Pls send a message,,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),,,
ham,"Call me, i am senthil from hsbc.",,,
ham,Missing you too.pray inshah allah,,,
ham,Wen did you get so spiritual and deep. That's great,,,
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.,,,
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,,,
ham,I want to be there so i can kiss you and feel you next to me,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
ham,LMAO where's your fish memory when I need it?,,,
ham,Lol for real. She told my dad I have cancer,,,
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",,,
ham,Where did u go? My phone is gonna die you have to stay in here,,,
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Good morning princess! How are you?,,,
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,,,
ham,Sir send to group mail check it.,,,
ham,Friends that u can stay on fb chat with,,,
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",,,
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",,,
ham,Neshanth..tel me who r u?,,,
ham,Good morning princess! Have a great day!,,,
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",,,
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",,,
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
ham,I plane to give on this month end.,,,
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",,,
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,,,
ham,Morning only i can ok.,,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
ham,The bus leaves at  &lt;#&gt; ,,,
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,If you r @ home then come down within 5 min,,,
ham,Ok then i will come to ur home after half an hour,,,
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
ham,I like to talk pa but am not able to. I dont know y.,,,
ham,I didnt get anything da,,,
ham,Cause I'm not freaky lol,,,
ham,S.i think he is waste for rr..,,,
ham,So Ì_'ll be submitting da project tmr rite?,,,
ham,"Aight, I'll ask a few of my roommates",,,
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",,,
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,,,
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",,,
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",,,
ham,Ew are you one of them?,,,
ham,How much she payed. Suganya.,,,
ham,Gd luck 4 ur exams :-),,,
ham,I meant middle left or right?,,,
ham,"\What are youdoing later? Sar xxx\""""",,,
ham,Did you show him and wot did he say or could u not c him 4 dust?,,,
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,,,
ham,Dude just saw a parked car with its sunroof popped up. Sux,,,
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?,,,
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""," just as a shop has to give a guarantee on what they sell. B. G.""",,
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,,,
ham,Go fool dont cheat others ok,,,
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),,,
ham,"Well, I meant as opposed to my drunken night of before",,,
ham,The evo. I just had to download flash. Jealous?,,,
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",,,
spam,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"," PO Box 1146 MK45 2WT (2/3)""",,
ham,I will come tomorrow di,,,
ham,Thanks for sending this mental ability question..,,,
ham,K k:) sms chat with me.,,,
ham,You said not now. No problem. When you can. Let me know.,,,
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,Oh yeah clearly it's my fault,,,
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
ham,Mmmm.... I cant wait to lick it!,,,
ham,You still coming tonight?,,,
ham,Shant disturb u anymore... Jia you...,,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
ham,Gam gone after outstanding innings.,,,
ham,"Fair enough, anything going on?",,,
ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",,,
ham,Just finished eating. Got u a plate. NOT leftovers this time.,,,
ham,So how are you really. What are you up to. How's the masters. And so on.,,,
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)",,,
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",,,
ham,Asking do u knw them or nt? May be ur frnds or classmates?,,,
ham,Lol u still feeling sick?,,,
ham,I've reached home finally...,,,
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,,,
ham,Can come my room but cannot come my house cos my house still messy... Haha...,,,
ham,I've been trying to reach him without success,,,
ham,Don know:)this week i'm going to tirunelvai da.,,,
ham,"Sorry, I'll call later",,,
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,,,
ham,Its ok..come to my home it vl nice to meet and v can chat..,,,
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",,,
ham,Ok ok take care. I can understand.,,,
ham,But i dint slept in afternoon.,,,
ham,"Wat time liao, where still got.",,,
ham,Long beach lor. Expected... U having dinner now?,,,
ham,"That's the trouble with classes that go well - you're due a dodgey one Û_ Expecting mine tomo! See you for recovery, same time, same place ",,,
ham,If You mean the website. Yes.,,,
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,,,
ham,Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?,,,
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50",,,
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,,,
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
ham,By monday next week. Give me the full gist,,,
ham,I will lick up every drop :) are you ready to use your mouth as well?,,,
ham,ÌÏ called dad oredi...,,,
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,,,
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,,,
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",,,
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",,,
ham,Hi! This is Roger from CL. How are you?,,,
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,,,
ham,Ya that one is slow as poo,,,
ham,Jus finish bathing...,,,
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"," I'll come up""",,
ham,Sleeping nt feeling well,,,
ham,IM LATE TELLMISS IM ON MY WAY,,,
ham,All e best 4 ur driving tmr :-),,,
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,,,
ham,Ok. I asked for money how far,,,
ham,Send to someone else :-),,,
ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",,,
ham,Send me your id and password,,,
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,,,
ham,It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900),,,
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,,,
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,,,
ham,Unlimited texts. Limited minutes.,,,
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,,,
ham,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx",,,
ham,Did either of you have any idea's? Do you know of anyplaces doing something?,,,
ham,Can you say what happen,,,
ham,Hope you are having a good week. Just checking in,,,
ham,"Cool, text me when you're ready",,,
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,,,
ham,"Sir, I need AXIS BANK account no and bank address.",,,
ham,"Yeah, that's fine! It's å£6 to get in, is that ok? ",,,
ham,"Awesome, that gonna be soon or later tonight?",,,
ham,But you dint in touch with me.,,,
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
ham,"Yeah, don't go to bed, I'll be back before midnight",,,
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",,,
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",,,
ham,That one week leave i put know that time. Why.,,,
ham,No problem with the renewal. I.ll do it right away but i dont know his details.,,,
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",,,
ham,"Aight, tomorrow around  &lt;#&gt;  it is",,,
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,,,
ham,Ok...,,,
ham,Not getting anywhere with this damn job hunting over here!,,,
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,,,
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,,,
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,,,
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,,
ham,So do you have samus shoulders yet,,,
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",,,
ham,Dunno lei he neva say...,,,
ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",,,
ham,I absolutely LOVE South Park! I only recently started watching the office.,,,
ham,Going on nothing great.bye,,,
ham,I can take you at like noon,,,
ham,Wait . I will msg after  &lt;#&gt;  min.,,,
ham,No but the bluray player can,,,
ham,What Today-sunday..sunday is holiday..so no work..,,,
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",,,
ham,S..antha num corrct dane,,,
ham,Not able to do anything.,,,
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,,,
ham,I finished my lunch already. U wake up already?,,,
ham,One small prestige problem now.,,,
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd,,,
ham,R u still working now?,,,
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..,,,
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",,,
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",,,
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,You dont know you jabo me abi.,,,
ham,"She was supposed to be but couldn't make it, she's still in town though",,,
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",,,
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,,,
ham,Aight what time you want me to come up?,,,
ham,"Easy mate, * guess the quick drink was bit ambitious.",,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,,,
ham,Hey whats up? U sleeping all morning?,,,
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,,,
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
ham,O we cant see if we can join denis and mina? Or does denis want alone time,,,
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",,,
ham,"That's cool he'll be here all night, lemme know when you're around",,,
ham,Oh baby of the house. How come you dont have any new pictures on facebook,,,
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,,,
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
ham,I not busy juz dun wan 2 go so early.. Hee.. ,,,
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
ham,No. Thank you. You've been wonderful,,,
ham,"Hey , is * rite u put åÈ10 evey mnth is that all?",,,
ham,Aight ill get on fb in a couple minutes,,,
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,,,
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",,,
